Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,Scrypt,PoW/PoS,41.99995383,42.0
404,Scrypt,PoW/PoS,1055184902.04,532000000.0
1337,X13,PoW/PoS,29279424622.5027,314159265359.0
BTC,SHA-256,PoW,17927175.0,21000000.0
ETH,Ethash,PoW,107684222.6865,0.0
LTC,Scrypt,PoW,63039243.3000049,84000000.0
DASH,X11,PoW/PoS,9031294.37563393,22000000.0
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0
ETC,Ethash,PoW,113359703.0,210000000.0
ZEC,Equihash,PoW,7383056.25,21000000.0
BTS,SHA-512,PoS,2741570000.0,3600570502.0
DGB,Multiple,PoW,11406219141.0,21000000000.0
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0
XPY,SHA-256,PoS,11995334.8847328,12500000.0
PRC,Scrypt,PoW,5768310.0,21000000.0
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0
SPR,X11,PoW,11149733.9976203,20000000.0
ARG,Scrypt,PoW,12205795.4449549,64000000.0
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0
BLU,Scrypt,PoW/PoS,635423900.0,0.0
XMY,Multiple,PoW,1688254250.0,2000000000.0
MOON,Scrypt,PoW,88.0,384000000000.0
ZET,SHA-256,PoW,170204389.754849,169795588.0
SXC,Scrypt,PoW,128940951.183046,250000000.0
QTL,Scrypt,PoW,7357794.7925,100000000.0
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0
QRK,Quark,PoW,259557164.91477,247000000.0
RIC,Groestl,PoW,49548585.1412917,84000000.0
DGC,Scrypt,PoW,33442988.3440364,48166000.0
BTB,Scrypt,PoW/PoS,42579.476901,500000.0
CAT,Scrypt,PoW,7219956.64626131,21000000.0
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0
CCN,Scrypt,PoW,4703879.51824446,13140000.0
CRYPT,X11,PoW,4996986.20575291,18000000.0
CSC,Scrypt,PoC,39999997299.8568,40000000000.0
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0
XVG,Multiple,PoW,15929530669.1206,16555000000.0
DVC,SHA-256,PoW,18773857500.0,21000000000.0
EAC,Scrypt,PoW,12539015186.822,13500000000.0
EFL,Scrypt,PoW,20910478.8062499,21000000.0
EMC2,Scrypt,PoW,218871896.499999,299792458.0
EMD,Scrypt,PoW,19496786.31025,32000000.0
EXCL,PoS,PoS,5679705.0,0.0
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0
FRK,Scrypt,PoW,1142732.14912776,11235813.0
FTC,NeoScrypt,PoW,208669093.00773,336000000.0
GDC,Scrypt,PoW,884125802.0,1420609614.0
GLC,Scrypt,PoW,65672720.4708748,70000000.0
GLD,Scrypt,PoW,41658647.9999715,72245700.0
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0
HYP,X11,PoS,1678520090.7713,0.0
IFC,Scrypt,PoW,90595753018.6314,90600000000.0
IOC,X11,PoW/PoS,17650913.9743456,22000000.0
IXC,SHA-256,PoW,21089348.999,21000000.0
KGC,Scrypt,PoW,151447649.8,265420800.0
LKY,Scrypt,PoW,19326319.14375,20000000.0
LTB,Scrypt,PoW,1104344.22938102,1350000.0
MAX,SHA3,PoW/PoS,61445805.0,100000000.0
MEC,Scrypt,PoW,38151999.9930997,42000000.0
MED,HybridScryptHash256,PoW,40431856.9,200000000.0
MINT,Scrypt,PoS,21293925445.4969,0.0
MINC,Scrypt,PoW,5804204.88794916,10000000.0
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0
NAUT,Scrypt,PoS,16180000.0,16180000.0
NAV,X13,PoW/PoS,66087096.2077108,0.0
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0
NMC,SHA-256,PoW,14736400.0,21000000.0
NYAN,Scrypt,PoW,334709223.483138,337000000.0
OPAL,X13,PoW/PoS,15156364.3306548,0.0
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0
RPC,Scrypt,PoW,1104157.42169891,21000000.0
SBC,Scrypt,PoW,24215181.725,250000000.0
SMC,Scrypt,PoW,25593737.1355044,51200000.0
SUPER,X11,PoS,50707661.7493518,0.0
SYNC,X11,PoW/PoS,1177.0,1000.0
SYS,SHA-256,PoW,563336541.299966,888000000.0
TES,Multiple,PoS,80260463.7331396,100000000.0
TGC,SHA-256,PoW,43536800.0,47011968.0
TIT,PHI1612,PoS,1622326490.46336,2300000000.0
TOR,X11,PoW/PoS,1431851.00002479,10000000.0
TRC,SHA-256,PoW,22935396.0,42000000.0
UNB,SHA-256,PoW,2278150.0,80000000.0
UNO,SHA-256,PoW,200911.79151896,250000.0
URO,X11,PoW,1207310.0,0.0
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0
VIA,Scrypt,PoW,23150892.1679687,23000000.0
VRC,Scrypt,PoST,32021108.4136696,0.0
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0
WDC,Scrypt,PoW,119606941.0,265420800.0
