Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.99995383,42
404,404Coin,Scrypt,PoW/PoS,1055184902.04,532000000
1337,EliteCoin,X13,PoW/PoS,29279424622.5027,314159265359
BTC,Bitcoin,SHA-256,PoW,17927175.0,21000000
ETH,Ethereum,Ethash,PoW,107684222.6865,0
LTC,Litecoin,Scrypt,PoW,63039243.3000049,84000000
DASH,Dash,X11,PoW/PoS,9031294.37563393,22000000
XMR,Monero,CryptoNight-V7,PoW,17201143.1449131,0
ETC,Ethereum Classic,Ethash,PoW,113359703.0,210000000
ZEC,ZCash,Equihash,PoW,7383056.25,21000000
BTS,Bitshares,SHA-512,PoS,2741570000.0,3600570502
DGB,DigiByte,Multiple,PoW,11406219141.0,21000000000
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862.0,22000000
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,PoW,5768310.0,21000000
KOBO,KoboCoin,X15,PoW/PoS,25542535.5881841,350000000
SPR,Spreadcoin,X11,PoW,11149733.9976203,20000000
ARG,Argentum,Scrypt,PoW,12205795.4449549,64000000
AUR,Aurora Coin,Scrypt,PoW/PoS,18135099.992959,16768584
BLU,BlueCoin,Scrypt,PoW/PoS,635423900.0,0
XMY,MyriadCoin,Multiple,PoW,1688254250.0,2000000000
MOON,MoonCoin,Scrypt,PoW,88.0,384000000000
ZET,ZetaCoin,SHA-256,PoW,170204389.754849,169795588
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,PoW/PoS,123062801.128773,0
QRK,QuarkCoin,Quark,PoW,259557164.91477,247000000
RIC,Riecoin,Groestl,PoW,49548585.1412917,84000000
DGC,Digitalcoin ,Scrypt,PoW,33442988.3440364,48166000
BTB,BitBar,Scrypt,PoW/PoS,42579.476901,500000
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,PoW/PoS,1039116.65144562,1000000
CCN,CannaCoin,Scrypt,PoW,4703879.51824446,13140000
CRYPT,CryptCoin,X11,PoW,4996986.20575291,18000000
CSC,CasinoCoin,Scrypt,PoC,39999997299.8568,40000000000
DMD,Diamond,Groestl,PoW/PoS,3304487.74735637,4380000
XVG,Verge,Multiple,PoW,15929530669.1206,16555000000
DVC,DevCoin,SHA-256,PoW,18773857500.0,21000000000
EAC,EarthCoin,Scrypt,PoW,12539015186.822,13500000000
EFL,E-Gulden,Scrypt,PoW,20910478.8062499,21000000 
EMC2,Einsteinium,Scrypt,PoW,218871896.499999,299792458
EMD,Emerald,Scrypt,PoW,19496786.31025,32000000
EXCL,Exclusive Coin,PoS,PoS,5679705.0,0
FLT,FlutterCoin,Scrypt,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,PoW,1142732.14912776,11235813
FTC,FeatherCoin,NeoScrypt,PoW,208669093.00773,336000000
GDC,GrandCoin,Scrypt,PoW,884125802.0,1420609614
GLC,GlobalCoin,Scrypt,PoW,65672720.4708748,70000000
GLD,GoldCoin,Scrypt,PoW,41658647.9999715,72245700
HBN,HoboNickels,Scrypt,PoW/PoS,89266933.684704,120000000
HYP,HyperStake,X11,PoS,1678520090.7713,0
IFC,Infinite Coin,Scrypt,PoW,90595753018.6314,90600000000
